[42/50] Validation MSE: 0.0082, CE: 0.0291, Accuracy: 99.34%
[43/50] Training MSE: 0.0829, CE: 0.0112, Accuracy: 87.42%
[43/50] Validation MSE: 0.0085, CE: 0.0256, Accuracy: 99.38%
[44/50] Training MSE: 0.0829, CE: 0.0112, Accuracy: 87.39%
[44/50] Validation MSE: 0.0086, CE: 0.0250, Accuracy: 99.41%
[45/50] Training MSE: 0.0823, CE: 0.0104, Accuracy: 88.21%
[45/50] Validation MSE: 0.0086, CE: 0.0180, Accuracy: 99.51%
[46/50] Training MSE: 0.0823, CE: 0.0104, Accuracy: 88.35%
[46/50] Validation MSE: 0.0085, CE: 0.0197, Accuracy: 99.50%
[47/50] Training MSE: 0.0824, CE: 0.0105, Accuracy: 88.27%
[47/50] Validation MSE: 0.0085, CE: 0.0221, Accuracy: 99.44%
[48/50] Training MSE: 0.0824, CE: 0.0104, Accuracy: 88.33%
[48/50] Validation MSE: 0.0083, CE: 0.0212, Accuracy: 99.51%
[49/50] Training MSE: 0.0824, CE: 0.0105, Accuracy: 88.32%
[49/50] Validation MSE: 0.0081, CE: 0.0215, Accuracy: 99.49%
[50/50] Training MSE: 0.0821, CE: 0.0101, Accuracy: 88.81%
[50/50] Validation MSE: 0.0084, CE: 0.0182, Accuracy: 99.59%

Final accuracies
Train: 88.81
Val: 99.59

Final losses
Train MSE: 0.082
Train CE: 0.010
Val MSE: 0.008
Val CE: 0.018
